S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
110,2023-03-19,8121,SPHL,Sayapatri Hydropower Limited,446.1000,460.0000,440.0000,458.0000,3730,1673322.0000,455.0000,520.2000,194.8000,2023-03-19T14:58:52.147723,458.0000,101,448.61,412.20
111,2023-03-19,139,NICA,NIC Asia Bank Ltd.,755.0000,755.0000,739.0000,742.0000,53939,40084482.0000,750.0000,861.9000,600.3000,2023-03-19T14:59:57.402703,742.0000,528,743.14,85804.92
112,2023-03-19,186,IGI,IME General Insurance Ltd.,403.0000,411.0000,403.0000,406.2000,12357,5017490.6000,409.0000,740.0000,333.2000,2023-03-19T14:59:57.345916,406.2000,90,406.04,7326.83
113,2023-03-19,274,EDBL,Excel Development Bank Ltd.,321.0000,321.3000,314.1000,315.9000,4273,1351684.7000,319.0000,495.0000,291.2000,2023-03-19T14:59:32.063921,315.9000,56,316.33,3947.78
114,2023-03-19,348,CZBIL,Citizens Bank International Limited,180.0000,182.0000,179.0000,179.0000,15499,2789924.1000,180.0000,278.0000,175.0000,2023-03-19T14:58:11.086191,179.0000,130,180.00,25419.74
115,2023-03-19,358,LBBL,Lumbini Bikas Bank Ltd.,330.0000,332.0000,329.0000,329.1000,9518,3140718.8000,332.0000,503.0000,290.1000,2023-03-19T14:59:31.049971,329.1000,66,329.97,11132.87
116,2023-03-19,447,GLICL,Gurans Life Insurance Company Ltd.,395.0000,403.9000,395.0000,403.9000,9548,3816286.6000,403.0000,721.0000,394.1000,2023-03-19T14:59:58.409056,403.9000,81,399.69,9044.82
117,2023-03-19,2758,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,1270.0000,1299.0000,1260.0000,1260.0000,4881,6186117.5000,1290.0000,2950.0000,1260.0000,2023-03-19T14:59:38.475577,1260.0000,132,1267.38,13300.11
118,2023-03-19,2759,SPDL,Synergy Power Development Ltd.,308.0000,310.0000,300.0000,308.4000,10490,3181664.8000,304.0000,474.0000,234.0000,2023-03-19T14:58:13.230541,308.4000,60,303.30,2487.48
119,2023-03-19,2811,MHNL,Mountain Hydro Nepal Limited,301.4000,302.9000,296.0000,296.0000,18811,5643206.6000,301.0000,462.0000,212.0000,2023-03-19T14:59:58.905484,296.0000,75,299.99,3700.00
120,2023-03-19,2877,SFMF,Sunrise First Mutual Fund,9.7500,9.7700,9.5700,9.6500,14010,136588.7000,9.9400,12.0500,8.5300,2023-03-19T14:39:51.113450,9.6500,12,9.74,
121,2023-03-19,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1000.0000,1000.0000,1000.0000,1000.0000,25,25000.0000,1000.0000,1171.0000,989.8000,2023-03-19T11:49:16.667402,1000.0000,1,1000.00,
122,2023-03-19,2907,SSHL,Shiva Shree Hydropower Ltd,231.0000,239.0000,230.1000,231.0000,74509,17352021.9000,231.1000,382.0000,155.1000,2023-03-19T14:59:57.269309,231.0000,222,232.88,3410.48
123,2023-03-19,3946,CHDC,CEDB Hydropower Development Company Limited,715.0000,726.0000,710.1000,720.0000,1820,1308010.0000,721.3000,925.0000,590.0000,2023-03-19T14:59:01.982361,720.0000,63,718.68,6043.75
