S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
1,2023-03-19,154,CHCL,Chilime Hydropower Company Limited,470.0000,471.0000,463.2000,469.0000,21725,10139491.3000,469.9000,504.1000,347.9000,2023-03-19T14:59:41.285464,469.0000,167,466.71,34040.86
2,2023-03-19,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,798.0000,814.8000,785.0000,787.0000,8741,6923721.2000,798.0000,1303.0000,785.0000,2023-03-19T14:59:50.184977,787.0000,231,792.09,22314.61
3,2023-03-19,235,HDL,Himalayan Distillery Limited,2050.0000,2050.0000,1975.0000,1975.0000,30708,61098633.7000,2015.0000,4323.0000,1975.0000,2023-03-19T14:59:58.263388,1975.0000,1014,1989.66,47983.94
4,2023-03-19,250,JFL,Janaki Finance Company Limited,380.1000,384.9000,379.1000,380.0000,6859,2611926.0000,378.0000,535.0000,305.0000,2023-03-19T14:59:41.661822,380.0000,51,380.80,2623.80
5,2023-03-19,559,NLG,NLG Insurance Company Ltd.,665.0000,667.0000,652.0000,660.1000,7461,4930252.8000,652.0000,928.0000,423.0000,2023-03-19T14:59:52.670354,660.1000,61,660.80,8756.98
6,2023-03-19,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,465.0000,486.9000,465.0000,484.0000,3586,1715552.8000,473.0000,957.0000,465.0000,2023-03-19T14:57:01.212016,484.0000,55,478.40,4755.30
7,2023-03-19,669,SHINEP,Shine Resunga Development Bank Ltd. Promoter Share,185.0000,185.0000,185.0000,185.0000,5124,947940.0000,185.0000,185.0000,140.0000,2023-03-19T12:28:10.814408,185.0000,1,185.00,
8,2023-03-19,2776,RADHI,Radhi Bidyut Company Ltd,260.1000,267.5000,260.1000,262.0000,37758,9956390.1000,263.0000,699.0000,195.3000,2023-03-19T14:59:52.148379,262.0000,312,263.68,4391.07
9,2023-03-19,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,580.0000,585.0000,575.0000,585.0000,1219,706138.9000,591.6000,1407.0000,575.0000,2023-03-19T14:59:12.729170,585.0000,55,579.27,2147.79
10,2023-03-19,2896,SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,660.0000,670.0000,657.0000,668.0000,211,139435.4000,664.0000,1305.6000,650.0000,2023-03-19T14:59:54.598248,668.0000,17,660.83,2553.49
11,2023-03-19,2898,NRN,NRN Infrastructure and Development Limited,460.6000,461.0000,451.4000,457.0000,4626,2109506.0000,470.0000,718.8000,385.0000,2023-03-19T14:59:21.024346,457.0000,69,456.01,5590.08
12,2023-03-19,8023,MMF1,Mega Mutual Fund -1,7.0900,7.1100,6.9600,7.0200,15610,109088.4500,7.2300,9.1300,6.7500,2023-03-19T14:10:46.561588,7.0200,33,6.98,
13,2023-03-19,8106,GIBF1,Global IME Balanced Fund-1,7.6700,8.0500,7.6700,8.0500,2600,20237.0000,7.8000,10.0000,7.5500,2023-03-19T14:59:38.473929,8.0500,16,7.78,
14,2023-03-19,8126,SIKLES,Sikles Hydropower Limited,450.0000,459.0000,443.0000,459.0000,2520,1137514.0000,459.0000,510.0000,315.5000,2023-03-19T14:59:48.068492,459.0000,120,451.39,3901.50
15,2023-03-19,187,NLIC,Nepal Life Insurance Co. Ltd.,671.9000,671.9000,649.1000,652.0000,60131,39196401.7000,660.1000,1268.0000,570.0000,2023-03-19T14:59:45.817918,652.0000,413,651.85,53515.94
16,2023-03-19,256,SFCL,Samriddhi Finance Company Limited,292.0000,299.0000,290.2000,294.0000,14384,4230140.5000,292.0000,375.0000,179.4000,2023-03-19T14:59:37.515872,294.0000,85,294.08,2407.60
17,2023-03-19,686,BARUN,Barun Hydropower Co. Ltd.,263.0000,265.0000,258.0000,263.0000,20032,5250962.5000,259.6000,541.6000,190.3000,2023-03-19T14:59:10.309931,263.0000,105,262.12,1409.19
18,2023-03-19,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,749.0000,760.0000,733.1000,741.0000,1118,823372.0000,749.0000,1652.4000,733.1000,2023-03-19T14:59:54.684629,741.0000,31,736.46,4586.05
19,2023-03-19,2784,NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,550.0000,550.0000,534.1000,540.0000,4738,2544582.8000,542.3000,883.1000,534.1000,2023-03-19T14:54:03.670024,540.0000,89,537.05,2623.10
20,2023-03-19,2900,RLI,Reliance Life Insurance Limited,388.2000,400.0000,388.2000,393.1000,2541,1001587.0000,393.0000,626.0000,310.0000,2023-03-19T14:57:50.996298,393.1000,118,394.17,8255.10
21,2023-03-19,2903,LEC,Liberty Energy Company Limited,289.1000,289.1000,280.0000,287.0000,9331,2660445.9000,295.0000,384.0000,203.0000,2023-03-19T14:59:52.415027,287.0000,111,285.11,4305.00
22,2023-03-19,2923,SLCF,Sanima Large Cap Fund,7.3400,7.3400,7.0900,7.0900,10500,74485.0000,7.2000,9.5000,6.9000,2023-03-19T14:45:53.112529,7.0900,6,7.09,
23,2023-03-19,2924,GLH,GreenLife Hydropower Limited,299.0000,303.0000,295.0000,298.0000,7948,2377583.0000,294.0000,511.0000,219.0000,2023-03-19T14:57:58.782154,298.0000,113,299.14,5364.00
24,2023-03-19,2925,MLBSL,Mahila Lagubitta Bittiya Sanstha Limited ,2112.1000,2197.2000,2100.0000,2100.0000,1149,2441006.0000,2155.0000,4329.6000,2100.0000,2023-03-19T14:59:34.492047,2100.0000,65,2124.46,4568.81
25,2023-03-19,4955,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,746.8000,746.8000,718.0000,731.9000,419,304004.0000,762.0000,1305.0000,702.0000,2023-03-19T14:59:30.253202,731.9000,30,725.54,1086.71
26,2023-03-19,4967,NICSF,NIC Asia Select Fund 30,7.6200,7.7100,7.6200,7.7100,6500,49852.0000,7.7100,9.4200,7.4000,2023-03-19T14:47:51.941103,7.7100,12,7.66,
27,2023-03-19,8018,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,785.4000,847.0000,785.4000,847.0000,505,426225.0000,770.0000,1460.0000,740.0000,2023-03-19T14:52:32.233972,847.0000,26,844.00,926.41
28,2023-03-19,8108,RHGCL,Rapti Hydro And General Construction Limited,336.0000,345.0000,335.2000,344.0000,37457,12821021.1000,338.3000,406.0000,191.6000,2023-03-19T14:59:59.116357,344.0000,293,342.28,2108.01
29,2023-03-19,8110,SBID83,10.25% Nepal SBI Bank Debenture 2083,895.0000,910.0000,895.0000,910.0000,70,63325.0000,909.0000,1000.0000,851.0000,2023-03-19T13:38:12.473547,910.0000,2,904.64,
30,2023-03-19,8128,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,940.8000,998.5000,934.0000,998.5000,70,67193.0000,960.0000,1870.0000,303.2000,2023-03-19T14:23:05.548268,998.5000,7,959.90,399.40
31,2023-03-19,141,LBL,Laxmi Bank Limited,180.0000,183.6000,179.6000,180.0000,29962,5415480.9000,180.0000,272.0000,179.6000,2023-03-19T14:57:57.657616,180.0000,145,180.74,20792.42
32,2023-03-19,149,OHL,Oriental Hotels Limited,530.0000,540.0000,523.0000,536.0000,2611,1374129.3000,529.9000,602.6000,413.8000,2023-03-19T14:55:47.045396,536.0000,20,526.28,6046.57
33,2023-03-19,153,BPCL,Butwal Power Company Limited,320.0000,324.0000,318.1000,319.0000,6748,2165510.6000,318.0000,424.0000,288.0000,2023-03-19T14:59:57.815552,319.0000,92,320.91,10874.92
34,2023-03-19,189,PICL,Prudential Insurance Co. Ltd.,402.0000,402.0000,395.0000,399.0000,3302,1309272.7000,400.6800,732.0000,328.3000,2023-03-19T14:59:53.562948,399.0000,39,396.50,4890.08
35,2023-03-19,245,CFCL,Central Finance Co. Ltd.,319.0000,320.0000,311.2000,314.5000,5095,1596958.7000,313.0000,462.9000,237.0000,2023-03-19T14:59:36.862503,314.5000,59,313.43,2984.21
36,2023-03-19,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,320.1000,332.5000,319.5000,327.0000,1733,562596.6000,326.0000,431.9000,223.9000,2023-03-19T14:08:49.169281,327.0000,18,324.63,3309.82
37,2023-03-19,273,ICFC,ICFC Finance Limited,430.0000,432.0000,420.0000,427.0000,9319,3961610.1000,428.0000,665.0000,363.0000,2023-03-19T14:59:57.476571,427.0000,97,425.11,5053.42
38,2023-03-19,357,PCBL,Prime Commercial Bank Ltd.,205.0000,205.0000,199.1000,201.9000,35576,7134720.6000,203.3000,333.0000,198.5000,2023-03-19T14:59:58.296887,201.9000,314,200.54,39173.80
39,2023-03-19,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,300.0000,304.0000,297.0000,299.0000,23300,6977892.0000,300.0000,525.0000,250.0000,2023-03-19T14:59:59.199282,299.0000,120,299.48,5585.21
40,2023-03-19,459,KSBBL,Kamana Sewa Bikas Bank Limited,311.0000,318.0000,307.4000,313.1000,6171,1932690.6000,312.9000,515.0000,292.0000,2023-03-19T14:59:40.251587,313.1000,78,313.18,9839.41
41,2023-03-19,516,MFIL,Manjushree Finance Ltd.,443.0000,448.0000,438.2000,444.8000,7446,3290970.9000,442.0000,659.0000,362.0000,2023-03-19T14:59:58.110264,444.8000,85,441.97,6011.71
42,2023-03-19,517,NBL,Nepal Bank Limited,261.0000,264.1000,260.0000,261.9000,26915,7030890.5000,263.5000,350.0000,258.0000,2023-03-19T14:59:43.936185,261.9000,223,261.22,38483.64
43,2023-03-19,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,762.9000,762.9000,740.1000,750.0000,331,248720.0000,751.0000,1254.0000,740.1000,2023-03-19T14:58:09.729781,750.0000,11,751.41,2400.00
44,2023-03-19,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1118.0000,1131.0000,1096.1000,1100.0000,1072,1192513.0000,1139.9000,2330.0000,1096.1000,2023-03-19T14:44:07.875685,1100.0000,26,1112.41,1626.97
45,2023-03-19,706,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,681.1000,689.9000,680.1000,680.1000,1603,1097510.7000,685.0000,1373.4000,666.0000,2023-03-19T14:56:37.993658,680.1000,33,684.66,5386.29
46,2023-03-19,1740,GIMES1,Global IME Samunnat Scheme-1,9.6000,9.6500,9.3200,9.3200,47728,456680.4600,9.4800,12.0700,8.0800,2023-03-19T14:57:03.003177,9.3200,18,9.56,
47,2023-03-19,2757,AKPL,Arun Kabeli Power Ltd.,405.0000,408.0000,404.0000,407.0000,32169,13039896.4000,405.0000,530.0000,325.0000,2023-03-19T14:59:58.773233,407.0000,174,405.35,8305.78
48,2023-03-19,2760,UMHL,United Modi Hydropower Ltd.,277.7000,277.7000,271.0000,273.0000,22208,6061679.7000,273.6000,384.0000,192.1000,2023-03-19T14:59:58.323517,273.0000,111,272.95,3139.50
49,2023-03-19,2789,JOSHI,Joshi Hydropower Development Company Ltd,275.3000,285.0000,270.0000,278.9000,30992,8575586.1000,280.9000,318.0000,164.8000,2023-03-19T14:59:56.162535,278.9000,233,276.70,1035.83
50,2023-03-19,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,699.0000,712.0000,699.0000,707.0000,303,213523.0000,710.0000,1467.0000,699.0000,2023-03-19T14:59:44.077170,707.0000,18,704.69,2698.03
51,2023-03-19,2843,SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,650.0000,650.0000,624.0000,624.0000,635,403245.1000,649.5000,1390.0000,624.0000,2023-03-19T14:58:09.325546,624.0000,31,635.03,1988.06
52,2023-03-19,2908,SGIC,Sanima GIC Insurance Limited,451.0000,457.5000,451.0000,454.0000,2447,1111053.0000,458.0000,665.0000,325.5000,2023-03-19T14:59:46.710867,454.0000,130,454.04,9080.00
53,2023-03-19,2915,PLI,Prabhu Life Insurance Limited,443.0000,449.0000,428.0000,428.0000,15332,6670255.0000,443.9000,651.2000,321.8000,2023-03-19T14:59:27.380130,428.0000,212,435.05,8560.00
54,2023-03-19,4947,PSF,Prabhu Select Fund,7.8500,7.9000,7.7500,7.7500,18851,146880.6500,7.9000,9.8300,7.3100,2023-03-19T14:53:01.941054,7.7500,19,7.79,
55,2023-03-19,8025,SPC,Samling Power Company Limited,482.0000,520.0000,482.0000,488.0000,3166,1554474.0000,491.0000,697.6000,338.2000,2023-03-19T14:59:58.412491,488.0000,48,490.98,2440.00
56,2023-03-19,8063,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,1567.0000,1610.0000,1567.0000,1580.2000,631,997237.2000,1597.0000,3951.4000,1211.0000,2023-03-19T14:57:47.760460,1580.2000,21,1580.40,1677.36
57,2023-03-19,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,415.0000,426.0000,414.0000,424.0000,5500,2330604.1000,415.1000,481.0000,130.2000,2023-03-19T14:59:56.802597,424.0000,140,423.74,2120.00
58,2023-03-19,8123,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,825.0000,845.0000,825.0000,828.2000,560,468629.0000,840.0000,1662.0000,177.7000,2023-03-19T14:40:57.655230,828.2000,23,836.83,853.87
59,2023-03-19,171,SANIMA,Sanima Bank Limited,239.0000,242.0000,238.5000,239.0000,34007,8173045.8000,239.7000,340.0000,222.0000,2023-03-19T14:59:59.352295,239.0000,220,240.33,29779.68
60,2023-03-19,178,NLICL,National Life Insurance Co. Ltd.,567.0000,567.0000,555.0000,557.9000,18835,10514703.8000,556.1000,940.0000,492.0000,2023-03-19T14:59:53.677761,557.9000,128,558.25,25888.97
61,2023-03-19,194,NFS,Nepal Finance Ltd.,302.0000,302.5000,298.0000,298.5000,14183,4241255.6000,299.0000,687.7000,213.3000,2023-03-19T14:59:45.196626,298.5000,75,299.03,2504.25
